locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Sopot Sopot Dolny,ul. Bolesława Chrobrego,3,69,1149000,16652,Bez pośredników,ponad miesiąc temu,17,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-boleslawa-chrobrego-3-pokojowe-p3d9c6,https://s2.adresowa.pl/oi/7a/1d/26e89e_722f_cover-3-pokojowe-mieszkanie-sopot-sopot-dolny-ul-boleslawa-chrobrego.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Sopot Sopot Górny,ul. Armii Krajowej,2,44,600000,13636,Bez pośredników,ponad miesiąc temu,7,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-ul-armii-krajowej-2-pokojowe-g9c8p0,https://s2.adresowa.pl/oi/2c/7c/1df162_f43d_cover-2-pokojowe-mieszkanie-sopot-sopot-gorny-ul-armii-krajowej.jpg
Sopot Centrum,al. Niepodległości,3,54,1000000,18519,Oferta biura nieruchomości,ponad miesiąc temu,12,https://adresowo.pl/o/mieszkanie-sopot-centrum-al-niepodleglosci-3-pokojowe-n3d2p0,https://s2.adresowa.pl/oi/11/58/351a42_96c0_cover-3-pokojowe-mieszkanie-sopot-centrum-al-niepodleglosci.jpg
Sopot,al. Niepodległości,3,61,1125000,18458,Oferta biura nieruchomości,ponad miesiąc temu,11,https://adresowo.pl/o/mieszkanie-sopot-al-niepodleglosci-3-pokojowe-j3y3t0,https://s2.adresowa.pl/oi/6d/4f/34c5da_ac23_cover-3-pokojowe-mieszkanie-sopot-al-niepodleglosci.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Sopot,al. Niepodległości,4,106,1199000,11311,Oferta biura nieruchomości,ponad miesiąc temu,15,https://adresowo.pl/o/mieszkanie-sopot-al-niepodleglosci-4-pokojowe-f1w8y3,https://s2.adresowa.pl/oi/3c/7e/348c76_c64d_cover-4-pokojowe-mieszkanie-sopot-al-niepodleglosci.jpg
Sopot Sopot Dolny,ul. Jana Jerzego Haffnera,5,109,1999000,18272,Oferta biura nieruchomości,ponad miesiąc temu,16,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-jana-jerzego-haffnera-5-pokojowe-d6s5n9,https://s2.adresowa.pl/oi/24/37/32ea7c_626e_cover-5-pokojowe-mieszkanie-sopot-sopot-dolny-ul-jana-jerzego-haffnera.jpg
Sopot,ul. 23 Marca,3,99,1639000,16506,Oferta biura nieruchomości,ponad miesiąc temu,8,https://adresowo.pl/o/mieszkanie-sopot-ul-23-marca-3-pokojowe-i2c5z2,https://s2.adresowa.pl/oi/51/57/286506_796c_cover-3-pokojowe-mieszkanie-sopot-ul-23-marca.jpg
Sopot Sopot Górny,ul. Okrężna,2,56,1920000,34043,Bez pośredników,3 dni temu,14,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-ul-okrezna-2-pokojowe-l5x4o1,https://s2.adresowa.pl/oi/44/54/3a9074_819b_cover-2-pokojowe-mieszkanie-sopot-sopot-gorny-ul-okrezna.jpg
